queue_id,department_id,queue_count,department_capacity,staff_efficiency,equipment_status,historical_wait_time,hour,day_of_week,is_weekend,priority,actual_wait_time,timestamp
3249,6,0,7,1.1392816012197797,1,112.75,15,5,1,3,130,2025-03-22 15:41:12.820621+00:00
3321,6,0,7,1.0921186769738513,1,114.6,15,5,1,3,79,2025-03-22 15:41:12.875092+00:00
3324,5,0,9,1.2509507915058438,1,182.0,15,5,1,3,277,2025-03-22 15:41:12.877327+00:00
3452,10,0,10,1.2539458328587292,1,214.0,15,5,1,3,82,2025-03-22 15:41:12.977836+00:00
3551,10,0,10,1.199257962667123,1,204.44444444444446,15,5,1,3,268,2025-03-22 15:41:13.052103+00:00
3616,9,0,10,1.2303826302636995,1,175.53061224489795,15,5,1,3,5,2025-03-22 15:41:13.103117+00:00
3653,9,0,10,1.092405863293907,1,174.51923076923077,15,5,1,3,264,2025-03-22 15:41:13.132212+00:00
3742,4,0,13,1.2770481719919122,1,166.81034482758622,15,5,1,3,50,2025-03-22 15:41:13.200520+00:00
3776,11,0,11,1.3012333659164694,1,189.64814814814815,15,5,1,3,20,2025-03-22 15:41:13.224810+00:00
3787,7,0,7,1.217191658115591,1,172.3932584269663,15,5,1,3,70,2025-03-22 15:41:13.232204+00:00
3940,4,0,13,1.173480519986494,1,153.34567901234567,15,5,1,3,60,2025-03-22 15:41:13.351522+00:00
3967,4,0,13,1.2854413406127148,1,152.10588235294117,15,5,1,3,42,2025-03-22 15:41:13.372715+00:00
3987,9,0,10,1.2529262566973152,1,183.63366336633663,15,5,1,3,247,2025-03-22 15:41:13.389940+00:00
4029,11,0,11,1.2769363556614415,1,194.85365853658536,15,5,1,3,103,2025-03-22 15:41:13.423230+00:00
4064,9,0,10,1.2860081348915136,1,182.93693693693695,15,5,1,3,259,2025-03-22 15:41:13.451724+00:00
4085,4,0,13,1.157660858355241,1,145.73076923076923,15,5,1,3,13,2025-03-22 15:41:13.466934+00:00
4218,11,0,11,1.1536734622597535,1,192.78095238095239,15,5,1,3,18,2025-03-22 15:41:13.568829+00:00
4243,10,0,10,1.197236166676981,1,207.36054421768708,15,5,1,3,33,2025-03-22 15:41:13.587501+00:00
4321,5,0,9,1.153483478940198,1,164.77697841726618,15,5,1,3,20,2025-03-22 15:41:13.645443+00:00
4375,9,0,10,1.0891209135102802,1,179.72602739726028,15,5,1,3,205,2025-03-22 15:41:13.685962+00:00
4416,11,0,11,1.248116161637378,1,195.05223880597015,15,5,1,3,261,2025-03-22 15:41:13.716825+00:00
4620,5,0,9,1.2116672698768087,1,166.2556818181818,15,5,1,3,27,2025-03-22 15:41:13.865985+00:00
4648,10,0,10,1.1390525635644173,1,208.6237113402062,15,5,1,3,14,2025-03-22 15:41:13.886494+00:00
4882,10,0,10,1.2922086755664444,1,209.3231441048035,15,5,1,3,98,2025-03-22 15:41:14.058158+00:00
5197,5,0,9,1.1062997665614827,1,164.30416666666667,15,5,1,3,195,2025-03-22 15:41:14.297483+00:00
5203,9,0,10,1.2898416065788376,1,179.04065040650406,15,5,1,3,203,2025-03-22 15:41:14.302184+00:00
5218,5,0,9,1.0918265094388375,1,164.76131687242798,15,5,1,3,25,2025-03-22 15:41:14.324605+00:00
5242,7,0,7,1.2279353515366658,1,179.65818181818182,15,5,1,3,41,2025-03-22 15:41:14.341440+00:00
5263,8,0,9,1.159371935493136,1,182.359375,15,5,1,3,105,2025-03-22 15:41:14.357035+00:00
5328,9,0,10,1.1794031354931025,1,178.2943396226415,15,5,1,3,36,2025-03-22 15:41:14.406317+00:00
5332,8,0,9,1.2883753825244575,1,181.62452107279694,15,5,1,3,243,2025-03-22 15:41:14.409793+00:00
5343,6,0,7,1.204889734959072,1,136.83794466403162,15,5,1,3,5,2025-03-22 15:41:14.417506+00:00
5444,5,0,9,1.3173083876739455,1,164.1578947368421,15,5,1,3,19,2025-03-22 15:41:14.492662+00:00
5452,8,0,9,1.267149214399089,1,183.22181818181818,15,5,1,3,284,2025-03-22 15:41:14.498318+00:00
5453,5,0,9,1.2818844891228467,1,164.02985074626866,15,5,1,3,27,2025-03-22 15:41:14.499003+00:00
5462,4,0,13,1.2366859426653167,1,143.9469964664311,15,5,1,3,66,2025-03-22 15:41:14.505423+00:00
5480,9,0,10,1.3022464887079228,1,176.5441696113074,15,5,1,3,30,2025-03-22 15:41:14.518601+00:00
5525,8,0,9,1.2209904051949894,1,184.66197183098592,15,5,1,3,234,2025-03-22 15:41:14.550345+00:00
5547,7,0,7,1.3139236756787673,1,180.13694267515925,15,5,1,3,229,2025-03-22 15:41:14.566814+00:00
5558,11,0,11,1.0930168747856377,1,183.01730103806227,15,5,1,3,154,2025-03-22 15:41:14.574863+00:00
5653,7,0,7,1.2688188872449615,1,179.62006079027356,15,5,1,3,12,2025-03-22 15:41:14.644761+00:00
5711,4,0,13,1.258336886308534,1,144.5111821086262,15,5,1,3,12,2025-03-22 15:41:14.686825+00:00
5718,10,0,10,1.1101832046406768,1,208.64545454545456,15,5,1,3,117,2025-03-22 15:41:14.691979+00:00
5771,9,0,10,1.2423137101880168,1,177.04658385093168,15,5,1,3,71,2025-03-22 15:41:14.730798+00:00
5805,10,0,10,1.268577880480956,1,208.36119402985074,15,5,1,3,103,2025-03-22 15:41:14.755895+00:00
5837,10,0,10,1.1901794957892007,1,207.9470588235294,15,5,1,3,240,2025-03-22 15:41:14.780584+00:00
5868,4,0,13,1.1861588734900321,1,146.4179104477612,15,5,1,3,275,2025-03-22 15:41:14.802892+00:00
5871,8,0,9,1.1255425858861707,1,182.69760479041915,15,5,1,3,105,2025-03-22 15:41:14.805142+00:00
6003,5,0,9,1.1815558741041887,1,161.53687315634218,15,5,1,3,183,2025-03-22 15:41:14.904263+00:00
6043,8,0,9,1.1725655130736279,1,180.63186813186815,15,5,1,3,203,2025-03-22 15:41:14.933727+00:00
6051,4,0,13,1.2461557591786863,1,147.0968660968661,15,5,1,3,244,2025-03-22 15:41:14.939683+00:00
6074,4,0,13,1.298954682031326,1,147.5380281690141,15,5,1,3,15,2025-03-22 15:41:14.956375+00:00
6161,9,0,10,1.2977701897374574,1,175.41239892183287,15,5,1,3,214,2025-03-22 15:41:15.020840+00:00
6173,8,0,9,1.2712515321545144,1,179.27466666666666,15,5,1,3,142,2025-03-22 15:41:15.029582+00:00
6183,8,0,9,1.232509312600435,1,179.07427055702917,15,5,1,3,10,2025-03-22 15:41:15.036603+00:00
6208,7,0,7,1.183604513409282,1,179.03703703703704,15,5,1,3,101,2025-03-22 15:41:15.054155+00:00
6322,10,0,10,1.1684589268192223,1,207.90225563909775,15,5,1,3,214,2025-03-22 15:41:15.139972+00:00
6374,9,0,10,1.2633586729635262,1,175.78625954198472,15,5,1,3,11,2025-03-22 15:41:15.177300+00:00
6441,5,0,9,1.1226450880863124,1,163.50131926121372,15,5,1,3,10,2025-03-22 15:41:15.227155+00:00
6484,5,0,9,1.300212927271905,1,163.18441558441558,15,5,1,3,32,2025-03-22 15:41:15.259324+00:00
6503,5,0,9,1.1040635291344139,1,163.16624040920715,15,5,1,3,28,2025-03-22 15:41:15.272610+00:00
6593,5,0,9,1.2831994015607937,1,163.83495145631068,15,5,1,3,189,2025-03-22 15:41:15.337549+00:00
6648,8,0,9,1.3032369958255514,1,179.82954545454547,15,5,1,3,5,2025-03-22 15:41:15.378080+00:00
6652,8,0,9,1.0982933925542286,1,179.4331065759637,15,5,1,3,156,2025-03-22 15:41:15.380880+00:00
6785,8,0,9,1.114814554082973,1,179.44902386117136,15,5,1,3,27,2025-03-22 15:41:15.479916+00:00
6798,4,0,13,1.0908443938906711,1,148.44295302013424,15,5,1,3,137,2025-03-22 15:41:15.489173+00:00
6856,4,0,13,1.1099961775615006,1,149.22197802197803,15,5,1,3,76,2025-03-22 15:41:15.531547+00:00
6882,6,0,7,1.2695314142712244,1,132.52336448598132,15,5,1,3,4,2025-03-22 15:41:15.550553+00:00
7007,10,0,10,1.0939857417916272,1,209.82172131147541,15,5,1,3,85,2025-03-22 15:41:15.645329+00:00
7036,8,0,9,1.0989065780307832,1,179.59514170040487,15,5,1,3,132,2025-03-22 15:41:15.666556+00:00
7057,9,0,10,1.1895121360934635,1,175.0482180293501,15,5,1,3,11,2025-03-22 15:41:15.682196+00:00
7090,9,0,10,1.103782086996331,1,174.70502092050208,15,5,1,3,120,2025-03-22 15:41:15.706309+00:00
7147,8,0,9,1.1137456620233535,1,178.6988188976378,15,5,1,3,212,2025-03-22 15:41:15.748989+00:00
7149,4,0,13,1.177229828796691,1,147.72088353413653,15,5,1,3,17,2025-03-22 15:41:15.750522+00:00
7379,10,0,10,1.1258081503463975,1,210.86940298507463,15,5,1,3,109,2025-03-22 15:41:15.920052+00:00
7427,10,0,10,1.3194764615455723,1,210.79112754158965,15,5,1,3,115,2025-03-22 15:41:15.956553+00:00
7515,11,0,11,1.1150682528118492,1,180.0360531309298,15,5,1,3,113,2025-03-22 15:41:16.021572+00:00
7600,10,0,10,1.314672794805263,1,210.16491228070174,15,5,1,3,139,2025-03-22 15:41:16.084181+00:00
7680,6,0,7,1.0940768170817263,1,134.2941176470588,15,5,1,3,19,2025-03-22 15:41:16.143054+00:00
7683,6,0,7,1.1657375573897784,1,134.2490566037736,15,5,1,3,11,2025-03-22 15:41:16.145327+00:00
7744,10,0,10,1.092036740415291,1,210.082910321489,15,5,1,3,131,2025-03-22 15:41:16.190079+00:00
7864,6,0,7,1.0919663398139063,1,134.22423146473778,15,5,1,3,5,2025-03-22 15:41:16.276933+00:00
7879,4,0,13,1.226018433262256,1,147.8,15,5,1,3,19,2025-03-22 15:41:16.287955+00:00
7978,7,0,7,1.0804641381240616,1,179.3733552631579,15,5,1,3,57,2025-03-22 15:41:16.364118+00:00
8037,8,0,9,1.2648696747277903,1,180.9558823529412,15,5,1,3,74,2025-03-22 15:41:16.407689+00:00
8039,6,0,7,1.0851334483782762,1,133.55244755244755,15,5,1,3,193,2025-03-22 15:41:16.409283+00:00
8117,6,0,7,1.1165446298658912,1,133.82413793103447,15,5,1,3,5,2025-03-22 15:41:16.467624+00:00
8172,11,0,11,1.2573729286287658,1,179.40333333333334,15,5,1,3,45,2025-03-22 15:41:16.509151+00:00
8333,11,0,11,1.136970964627196,1,179.72712680577848,15,5,1,3,276,2025-03-22 15:41:16.631372+00:00
8413,8,0,9,1.1544286572479994,1,181.37087087087087,15,5,1,3,220,2025-03-22 15:41:16.691130+00:00
8426,11,0,11,1.1090048867936015,1,179.57276995305165,15,5,1,3,37,2025-03-22 15:41:16.700393+00:00
